Date,Open,High,Low,Close,Adj. Close,Volume
"Nov 03, 2020",44.6,45.75,43.8,45.05,43.73,38365746
"Nov 04, 2020",44.75,45.3,43.4,45.05,43.73,35144741
"Nov 05, 2020",45.3,46.55,45.05,45.75,44.41,31843085
"Nov 06, 2020",45.6,46.4,45.1,45.8,44.46,25675306
"Nov 09, 2020",46.35,47.4,46,46.75,45.38,30062307
"Nov 10, 2020",47,48.8,46.5,48.2,46.79,39007158
"Nov 11, 2020",48.3,48.9,46.7,47.2,45.82,35470779
"Nov 12, 2020",47.1,47.25,45.4,45.65,44.32,30619367
"Nov 13, 2020",45.45,46.75,44.4,46.55,45.19,26724684
"Nov 14, 2020",47.15,47.2,46.4,46.65,45.29,2862425
"Nov 17, 2020",46.7,47.9,46.7,47.55,46.16,21494471
"Nov 18, 2020",47.15,49.9,47,49.6,48.15,52946624
"Nov 19, 2020",49.35,49.35,47.65,47.95,46.55,27880377
"Nov 20, 2020",47.95,48.3,47.2,47.55,46.16,17592043
"Nov 23, 2020",47.85,48.2,46.7,46.9,45.53,20454971
"Nov 24, 2020",47.2,47.45,46,46.85,45.48,31404794
"Nov 25, 2020",47.55,50.7,47.3,49.05,47.62,95600102
"Nov 26, 2020",49.1,51.5,48.25,51.15,49.65,55805690
"Nov 27, 2020",51.15,52.5,50.6,51.35,49.85,61204165
"Dec 01, 2020",51.55,54.2,51.15,53.75,52.18,58316841
"Dec 02, 2020",53.95,55.25,53.05,54.1,52.52,61231380
"Dec 03, 2020",54.65,58.7,54.35,58.3,56.6,88098471
"Dec 04, 2020",58.9,59.75,56.6,59.05,57.32,73822092
"Dec 07, 2020",59.2,61,58.5,60.15,58.39,63605512
"Dec 08, 2020",60.15,66.15,59.9,65.2,63.29,134428758
"Dec 09, 2020",67.35,67.6,64.2,65.6,63.68,115081316
"Dec 10, 2020",64.95,66.8,62.9,66.35,64.41,69017267
"Dec 11, 2020",66.35,68.25,65,65.45,63.54,73246944
"Dec 14, 2020",66.35,67.5,66.15,67,65.04,40028589
"Dec 15, 2020",67.15,68.1,65.5,67.15,65.19,43111626
"Dec 16, 2020",67.7,67.9,65.65,66.4,64.46,33186305
"Dec 17, 2020",66.4,67.15,63.35,63.8,61.94,39697753
"Dec 18, 2020",63.95,64.25,62,63.1,61.26,38450486
"Dec 21, 2020",62.25,63.5,56.8,58.8,57.08,50895629
"Dec 22, 2020",58.15,60,56.2,58.8,57.08,52670734
"Dec 23, 2020",58.8,60.8,58.35,60.55,58.78,32358417
"Dec 24, 2020",61.05,63.25,60.6,60.85,59.07,39083563
"Dec 28, 2020",61.5,62.95,61.25,62.4,60.58,27299489
"Dec 29, 2020",63,64.2,62.1,62.35,60.53,41508873
"Dec 30, 2020",63,63.25,60.75,62.1,60.28,33108560
"Dec 31, 2020",62.1,62.55,61.15,61.45,59.65,22488846
"Jan 01, 2021",61.8,64.8,61.6,64.5,62.61,43369915
"Jan 04, 2021",65.1,66.3,64.3,65.8,63.88,40279407
"Jan 05, 2021",65.2,66.25,64.8,65.6,63.68,31735002
"Jan 06, 2021",66,67.7,64.7,65.5,63.59,47643226
"Jan 07, 2021",66.5,67,65.75,66.15,64.22,27985323
"Jan 08, 2021",67,67.15,65.3,65.55,63.63,22794827
"Jan 11, 2021",66,66.15,63.75,64.25,62.37,23307584
"Jan 12, 2021",63.9,71.7,63.1,70.75,68.68,81300070
"Jan 13, 2021",72,76,70.05,75.25,73.05,127567552
"Jan 14, 2021",75.35,77.9,74.7,76.2,73.97,73557480
"Jan 15, 2021",76.5,77.8,72.85,75.15,72.95,61065625
"Jan 18, 2021",75.45,77.1,72.05,73.05,70.91,58500838
"Jan 19, 2021",73.45,75.95,73.2,75.75,73.54,36969600
"Jan 20, 2021",75.85,80.3,75.05,79.45,77.13,61542233
"Jan 21, 2021",80.15,80.8,75.15,76.3,74.07,53482170
"Jan 22, 2021",76.15,77.35,73,73.35,71.21,45531180
"Jan 25, 2021",74.6,76.15,70.4,73.85,71.69,53420249
"Jan 27, 2021",73.55,75.5,72,74.05,71.89,72480794
"Jan 28, 2021",72.45,72.8,64.5,66.75,64.8,153754944
"Jan 29, 2021",67.95,70.15,66.4,68.05,66.06,72845577
"Feb 01, 2021",68.95,74.4,67.7,73.9,71.74,88439891
"Feb 02, 2021",75,76.95,73.35,74.65,72.47,73020753
"Feb 03, 2021",75.4,78.85,73.5,77.1,74.85,65076252
"Feb 04, 2021",77.1,83.1,76.1,82.05,79.65,95917593
"Feb 05, 2021",83.7,89,81.7,82.5,80.09,121275419
"Feb 08, 2021",83.5,85.1,80.1,80.95,78.58,44535603
"Feb 09, 2021",81.4,83.15,78.95,80.2,77.86,56527410
"Feb 10, 2021",80.1,81.1,78,79.7,77.37,43516962
